Module,Test Case ID,Test Description,Automation Status
Authentication,AUTH_01,Login page renders email password fields and Sign In button,Done
Authentication,AUTH_02,Valid credentials redirect to /jobs,Done
Authentication,AUTH_03,Wrong credentials show error and stay on /login,Done
Authentication,AUTH_04,Empty fields show validation error and do not submit,Done
Authentication,AUTH_05,Unauthenticated access to /jobs redirects to /login,Done
Authentication,AUTH_06,User lands on /jobs after successful login,Done
Authentication,AUTH_07,Logout clears session and redirects to /login,Pending
Authentication,AUTH_08,Session cookie persists after page refresh,Pending
Authentication,AUTH_09,Back-navigation after logout redirects to /login,Pending
Jobs List,JOBS_01,/jobs loads with job list and + New Job button,Done
Jobs List,JOBS_02,Job row shows title applicant count criteria counts and date,Done
Jobs List,JOBS_03,Active tab shows only active jobs,Done
Jobs List,JOBS_04,Archived tab shows only archived jobs,Pending
Jobs List,JOBS_05,Closed tab shows only closed jobs,Pending
Jobs List,JOBS_06,Each job row shows a relative published date,Done
Jobs List,JOBS_07,Clicking a job row navigates to job detail,Done
Jobs List,JOBS_09,+ New Job button navigates to /jobs/new,Done
Jobs List,JOBS_10,Actions dropdown shows View Criteria and Archive options,Pending
Jobs List,JOBS_11,Archive action archives job and removes it from active list,Pending
Jobs List,JOBS_13,Re-open action changes closed job status back to active,Pending
Jobs List,JOBS_14,Empty state shown with prompt to create first job when no jobs exist,Pending
Jobs List,JOBS_15,Applicant count on row matches total count in job detail page,Pending
Create Job,JN_01,/jobs/new renders with file upload area,Done
Create Job,JN_02,PDF upload accepted and AI extracts criteria,Done
Create Job,JN_03,DOCX upload accepted and criteria extracted,Pending
Create Job,JN_04,TXT/MD upload accepted and criteria extracted,Pending
Create Job,JN_05,Unsupported file type (.jpg) rejected with error message,Pending
Create Job,JN_06,AI-suggested job title auto-populated from JD content,Done
Create Job,JN_07,Extracted criteria list renders with labels and importance tiers,Done
Create Job,JN_08,Criteria grouped into Must Preferred Nice tiers,Done
Create Job,JN_09,Editing a criterion label updates and saves the new label,Pending
Create Job,JN_10,Changing a criterion importance tier moves it to the correct group,Pending
Create Job,JN_11,Manually added criterion appears in the list with correct tier,Pending
Create Job,JN_12,Deleting a criterion removes it from the list,Pending
Create Job,JN_13,Save as Draft saves job with draft status; not shown in active list,Pending
Create Job,JN_14,Preview dialog shows formatted job title and all criteria before going live,Pending
Create Job,JN_15,Published job appears in /jobs active list,Done
Create Job,JN_16,Clicking Save without uploading a file shows validation error,Pending
Create Job,JN_17,Criteria count per tier shown after extraction,Pending
Create Job,JN_18,Job assigned to hiring manager; HM only sees assigned jobs,Pending
Job Detail,JD_01,Job detail page loads with title criteria summary and applicant list,Done
Job Detail,JD_02,Applicants sorted by match score descending (highest first),Pending
Job Detail,JD_03,Applicant row shows name match score status badge and submission timestamp,Pending
Job Detail,JD_04,Match score badges color-coded correctly (green/amber/red),Pending
Job Detail,JD_05,Status filter chips render for New Reviewing Shortlisted Interview Scheduled etc.,Pending
Job Detail,JD_06,Clicking Shortlisted chip shows only shortlisted applicants,Pending
Job Detail,JD_07,Clicking a status chip updates the URL with status param,Done
Job Detail,JD_08,All chip clears filter and shows every applicant,Done
Job Detail,JD_09,Count on each status chip matches number of applicants shown when selected,Pending
Job Detail,JD_11,Clicking an applicant row navigates to /applications/[id],Done
Job Detail,JD_12,Back link navigates to /jobs,Done
Job Detail,JD_13,Empty state shown when selected status filter has zero applicants,Pending
Job Detail,JD_14,Edit Criteria button navigates to /jobs/[code]/edit,Pending
Applications List,AL_01,/applications loads showing all applications across all jobs,Done
Applications List,AL_02,Each applicant row shows the job/role the applicant applied for,Pending
Applications List,AL_03,Each row shows name location email experience match score status and timestamp,Pending
Applications List,AL_04,Match score badges color-coded correctly (Strong/Fair/Weak),Pending
Applications List,AL_05,Clicking a status chip shows only applicants with that status,Done
Applications List,AL_05b,Clearing status filter removes param from URL,Done
Applications List,AL_06,Sort by Match Score reorders applicants with highest score first,Pending
Applications List,AL_07,Selecting a job from filter dropdown shows only that job's applicants,Pending
Applications List,AL_08,URL with status filter applied loads page with same filter in new tab,Pending
Applications List,AL_09,Clicking an applicant row navigates to /applications/[id],Pending
